joined,generation,inviter_joined,activated_card,first_purchase,fifth_purchase,last_activity,joined_bonus,days_till_activation,has_activated_card,days_till_first_purchase,days_till_fifth_purchase,fifth_purchase_bonus,currently_active,first_purchase_binned,fifth_purchase_binned
2021-01-11,GEN Z,2021-01-03,2021-01-19,2021-04-05,,2021-04-05,10,8,Y,84,-1,0,N,>30,-1
2021-01-11,BOOMER,2020-12-01,,2021-01-16,2021-01-16,2021-08-30,10,-1,N,5,5,10,N,5,5
2021-01-11,GEN Z,2018-12-25,2021-01-20,2021-01-11,2021-02-05,2021-10-14,10,9,Y,0,25,10,N,0,25
2021-01-11,GEN X,2020-02-25,,,,2021-01-28,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN Z,2021-01-03,2021-01-20,2021-01-12,2021-01-13,2021-11-01,10,9,Y,1,2,10,Y,1,2
2021-01-11,GEN Y,2020-02-24,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN Z,2020-03-11,2021-01-21,2021-01-23,2021-01-28,2021-11-01,10,10,Y,12,17,10,Y,12,17
2021-01-11,GEN Z,2020-03-22,2021-01-21,,,2021-02-04,10,10,Y,-1,-1,0,N,-1,-1
2021-01-11,GEN Y,2020-10-01,2021-01-20,2021-01-20,2021-01-22,2021-11-14,10,9,Y,9,11,10,Y,9,11
2021-01-11,GEN Y,2020-08-15,,2021-01-26,2021-03-20,2021-11-09,10,-1,N,15,68,0,Y,15,>30
2021-01-11,GEN Z,2019-02-14,,,,2021-01-11,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN X,2019-10-05,,,,2021-05-29,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN X,2019-10-01,2021-07-30,2021-01-22,2021-03-05,2021-07-30,10,200,Y,11,53,0,N,11,>30
2021-01-11,GEN Z,2020-03-12,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN Z,2021-01-10,2021-02-26,2021-02-26,2021-03-09,2021-11-13,10,46,Y,46,57,0,Y,>30,>30
2021-01-11,GEN Y,2020-09-15,,,,2021-01-11,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN Z,2019-03-11,2021-02-04,2021-01-12,2021-01-14,2021-11-14,10,24,Y,1,3,10,Y,1,3
2021-01-11,GEN Y,2021-01-08,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN Y,2020-10-15,2021-01-19,2021-01-15,2021-01-24,2021-11-14,10,8,Y,4,13,10,Y,4,13
2021-01-11,GEN Z,2020-06-23,2021-01-21,2021-01-23,2021-02-03,2021-11-14,10,10,Y,12,23,10,Y,12,23
2021-01-11,GEN Z,2020-12-26,2021-03-04,2021-01-15,2021-01-25,2021-11-12,10,52,Y,4,14,10,Y,4,14
2021-01-11,GEN Z,2020-10-26,2021-01-23,2021-02-22,2021-03-28,2021-11-14,10,12,Y,42,76,0,Y,>30,>30
2021-01-11,GEN Y,2020-09-30,2021-01-23,2021-01-12,2021-01-19,2021-11-13,10,12,Y,1,8,10,Y,1,8
2021-01-11,GEN Z,2020-02-17,,2021-01-13,2021-01-15,2021-11-11,10,-1,N,2,4,10,Y,2,4
2021-01-11,GEN Y,2019-12-30,2021-01-19,2021-02-17,2021-02-18,2021-11-15,10,8,Y,37,38,0,Y,>30,>30
2021-01-11,GEN Z,2020-10-22,2021-01-20,2021-01-20,2021-01-21,2021-11-15,10,9,Y,9,10,10,Y,9,10
2021-01-11,GEN Y,2020-07-01,,,,2021-04-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN Z,2020-02-05,2021-01-20,2021-01-12,2021-01-15,2021-11-02,10,9,Y,1,4,10,Y,1,4
2021-01-11,GEN Y,2021-01-03,2021-02-14,2021-02-05,2021-03-06,2021-09-08,10,34,Y,25,54,0,N,25,>30
2021-01-11,GEN Y,2019-06-12,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-11,GEN Z,2019-10-30,2021-01-23,2021-01-13,2021-01-15,2021-08-11,10,12,Y,2,4,10,N,2,4
2021-01-12,GEN Z,2020-09-12,2021-02-17,2021-01-14,2021-01-14,2021-08-16,10,36,Y,2,2,10,N,2,2
2021-01-12,GEN Y,2019-06-18,2021-02-06,2021-02-06,2021-02-06,2021-11-12,10,25,Y,25,25,10,Y,25,25
2021-01-12,GEN Z,2020-07-23,2021-01-24,2021-01-27,2021-02-07,2021-11-14,10,12,Y,15,26,10,Y,15,26
2021-01-12,GEN Y,2019-05-10,2021-02-15,2021-03-13,2021-03-15,2021-11-14,10,34,Y,60,62,0,Y,>30,>30
2021-01-12,GEN Y,2020-04-22,2021-01-19,2021-01-20,2021-01-22,2021-04-03,10,7,Y,8,10,10,N,8,10
2021-01-12,GEN X,2020-07-09,2021-01-23,2021-03-16,,2021-03-16,10,11,Y,63,-1,0,N,>30,-1
2021-01-12,GEN Z,2018-10-20,2021-01-20,2021-01-28,2021-02-11,2021-11-14,10,8,Y,16,30,10,Y,16,30
2021-01-12,GEN Z,2020-12-06,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2020-08-31,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Y,2019-06-29,,2021-01-14,,2021-01-14,10,-1,N,2,-1,0,N,2,-1
2021-01-12,GEN Z,2020-12-19,2021-03-23,2021-03-25,2021-03-26,2021-11-13,10,70,Y,72,73,0,Y,>30,>30
2021-01-12,GEN Y,2019-06-09,,,,2021-01-12,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2021-01-08,,,,2021-01-26,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2019-05-08,2021-02-18,2021-01-12,2021-03-13,2021-05-30,10,37,Y,0,60,0,N,0,>30
2021-01-12,GEN Z,2019-05-08,2021-02-05,2021-04-06,2021-09-07,2021-11-14,10,24,Y,84,238,0,Y,>30,>30
2021-01-12,GEN Z,2020-12-28,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2021-01-11,2021-01-21,2021-01-12,2021-01-13,2021-11-15,10,9,Y,0,1,10,Y,0,1
2021-01-12,GEN Z,2020-12-28,2021-01-20,2021-01-20,2021-01-24,2021-11-14,10,8,Y,8,12,10,Y,8,12
2021-01-12,GEN Z,2019-04-30,,,,2021-01-12,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2020-12-16,2021-01-20,2021-01-22,,2021-02-05,10,8,Y,10,-1,0,N,10,-1
2021-01-12,GEN Z,2020-08-10,2021-01-18,2021-01-23,2021-03-02,2021-05-18,10,6,Y,11,49,0,N,11,>30
2021-01-12,GEN Z,2020-10-25,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Y,2021-01-01,2021-01-20,2021-03-03,2021-06-09,2021-07-19,10,8,Y,50,148,0,N,>30,>30
2021-01-12,GEN Y,2020-01-14,2021-02-08,2021-02-10,2021-02-19,2021-11-14,10,27,Y,29,38,0,Y,29,>30
2021-01-12,GEN Y,2021-01-01,2021-01-20,,,,10,8,Y,-1,-1,0,N,-1,-1
2021-01-12,GEN X,2020-12-28,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2020-11-11,2021-01-25,2021-01-28,2021-04-21,2021-11-08,10,13,Y,16,99,0,Y,16,>30
2021-01-12,GEN Z,2019-03-11,2021-03-16,2021-03-16,2021-03-20,2021-05-11,10,63,Y,63,67,0,N,>30,>30
2021-01-12,GEN Y,2019-09-24,2021-02-02,2021-05-10,2021-08-05,2021-11-11,10,21,Y,118,205,0,Y,>30,>30
2021-01-12,GEN Y,2020-12-29,2021-01-19,2021-01-12,2021-01-16,2021-11-14,10,7,Y,0,4,10,Y,0,4
2021-01-12,GEN Y,2020-05-01,,,,2021-01-13,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2021-01-11,2021-01-26,2021-01-15,2021-01-16,2021-11-15,10,14,Y,3,4,10,Y,3,4
2021-01-12,GEN Y,2020-04-14,2021-02-05,2021-01-17,2021-02-05,2021-08-04,10,24,Y,5,24,10,N,5,24
2021-01-12,GEN Z,2020-10-25,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN X,2020-12-30,2021-01-20,2021-01-15,2021-02-08,2021-11-13,10,8,Y,3,27,10,Y,3,27
2021-01-12,GEN Z,2021-01-07,2021-01-21,2021-01-14,2021-01-15,2021-11-14,10,9,Y,2,3,10,Y,2,3
2021-01-12,GEN Y,2020-12-19,2021-02-07,2021-02-08,2021-02-09,2021-11-14,10,26,Y,27,28,10,Y,27,28
2021-01-12,GEN Y,2020-12-31,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Z,2020-12-30,2021-01-21,2021-01-27,,2021-11-10,10,9,Y,15,-1,0,Y,15,-1
2021-01-12,GEN Y,2020-10-15,2021-01-20,2021-01-20,2021-01-20,2021-11-07,10,8,Y,8,8,10,Y,8,8
2021-01-12,GEN X,2021-01-12,2021-01-22,2021-01-16,2021-01-28,2021-11-14,10,10,Y,4,16,10,Y,4,16
2021-01-12,GEN Y,2021-01-04,,,,2021-09-18,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Y,2021-01-09,,2021-03-13,,2021-03-13,10,-1,N,60,-1,0,N,>30,-1
2021-01-12,GEN Z,2021-01-11,2021-01-20,2021-01-14,2021-01-27,2021-05-25,10,8,Y,2,15,10,N,2,15
2021-01-12,GEN Z,2019-05-13,2021-01-25,2021-01-26,2021-02-21,2021-11-14,10,13,Y,14,40,0,Y,14,>30
2021-01-12,GEN Z,2021-01-11,2021-01-20,2021-01-25,2021-01-29,2021-09-24,10,8,Y,13,17,10,N,13,17
2021-01-12,GEN X,2020-12-29,2021-01-21,2021-01-20,2021-01-27,2021-11-14,10,9,Y,8,15,10,Y,8,15
2021-01-12,GEN Z,2021-01-11,2021-04-24,2021-02-24,2021-03-11,2021-11-10,10,102,Y,43,58,0,Y,>30,>30
2021-01-12,GEN Y,2020-09-19,2021-01-20,2021-01-21,2021-02-10,2021-09-27,10,8,Y,9,29,10,N,9,29
2021-01-12,GEN Z,2019-09-22,2021-01-22,2021-01-22,2021-01-26,2021-11-14,10,10,Y,10,14,10,Y,10,14
2021-01-12,GEN Y,2020-09-18,2021-02-07,2021-02-07,2021-03-24,2021-11-14,10,26,Y,26,71,0,Y,26,>30
2021-01-12,GEN Z,2020-10-16,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-12,GEN Y,2020-07-02,2021-01-28,2021-01-13,2021-01-13,2021-11-13,10,16,Y,1,1,10,Y,1,1
2021-01-12,GEN Z,2020-12-30,,2021-02-08,2021-02-18,2021-10-18,10,-1,N,27,37,0,Y,27,>30
2021-01-12,GEN Y,2021-01-01,2021-02-03,2021-02-03,2021-02-18,2021-11-14,10,22,Y,22,37,0,Y,22,>30
2021-01-13,GEN Y,2020-10-25,2021-03-04,2021-03-05,2021-03-06,2021-03-15,10,50,Y,51,52,0,N,>30,>30
2021-01-13,GEN Y,2020-05-10,2021-01-28,2021-01-29,,2021-04-09,10,15,Y,16,-1,0,N,16,-1
2021-01-13,GEN Y,2020-11-25,2021-01-27,2021-01-28,,2021-07-18,10,14,Y,15,-1,0,N,15,-1
2021-01-13,GEN Z,2020-01-15,2021-01-22,2021-01-13,2021-01-15,2021-11-14,10,9,Y,0,2,10,Y,0,2
2021-01-13,GEN Z,2019-11-13,2021-01-23,2021-01-24,2021-01-25,2021-11-12,10,10,Y,11,12,10,Y,11,12
2021-01-13,GEN X,2020-12-25,2021-03-25,2021-02-08,2021-04-07,2021-06-28,10,71,Y,26,84,0,N,26,>30
2021-01-13,GEN Y,2020-07-17,2021-01-24,2021-02-01,2021-02-02,2021-04-01,10,11,Y,19,20,10,N,19,20
2021-01-13,GEN Y,2020-12-30,2021-01-29,2021-06-27,2021-08-19,2021-11-06,10,16,Y,165,218,0,Y,>30,>30
2021-01-13,GEN X,2020-10-18,2021-01-23,,,2021-10-27,10,10,Y,-1,-1,0,Y,-1,-1
2021-01-13,GEN Z,2020-10-21,2021-01-25,2021-01-20,2021-01-22,2021-11-14,10,12,Y,7,9,10,Y,7,9
2021-01-13,GEN Z,2020-02-09,2021-02-08,2021-01-30,2021-02-11,2021-11-14,10,26,Y,17,29,10,Y,17,29
2021-01-13,GEN Z,2020-12-23,2021-05-23,2021-05-23,2021-06-30,2021-09-06,10,130,Y,130,168,0,N,>30,>30
2021-01-13,GEN Z,2020-12-16,2021-01-22,2021-02-06,2021-02-09,2021-11-15,10,9,Y,24,27,10,Y,24,27
2021-01-13,GEN Z,2020-01-16,2021-01-25,2021-01-25,2021-01-31,2021-11-15,10,12,Y,12,18,10,Y,12,18
2021-01-13,GEN Y,2021-01-05,,,,2021-01-25,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2019-04-25,2021-01-25,2021-01-27,2021-01-28,2021-11-14,10,12,Y,14,15,10,Y,14,15
2021-01-13,GEN Y,2020-02-18,2021-05-21,2021-01-17,2021-01-28,2021-11-15,10,128,Y,4,15,10,Y,4,15
2021-01-13,GEN X,2020-02-22,2021-03-06,2021-04-30,2021-05-13,2021-10-05,10,52,Y,107,120,0,N,>30,>30
2021-01-13,GEN Y,2019-04-21,2021-01-21,2021-01-22,2021-03-24,2021-11-14,10,8,Y,9,70,0,Y,9,>30
2021-01-13,GEN Y,2020-08-16,2021-01-31,2021-02-01,2021-02-02,2021-11-13,10,18,Y,19,20,10,Y,19,20
2021-01-13,GEN Z,2020-01-31,2021-01-25,2021-01-28,2021-01-28,2021-11-14,10,12,Y,15,15,10,Y,15,15
2021-01-13,GEN Y,2020-04-29,2021-06-30,2021-06-30,2021-08-16,2021-11-06,10,168,Y,168,215,0,Y,>30,>30
2021-01-13,GEN Z,2020-06-07,2021-01-19,2021-01-19,2021-01-19,2021-11-09,10,6,Y,6,6,10,Y,6,6
2021-01-13,GEN Z,2020-03-10,2021-06-14,2021-01-15,2021-01-17,2021-11-14,10,152,Y,2,4,10,Y,2,4
2021-01-13,GEN Y,2020-07-11,2021-01-21,2021-01-21,2021-01-25,2021-11-13,10,8,Y,8,12,10,Y,8,12
2021-01-13,BOOMER,2019-04-08,,,,2021-01-13,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2020-09-23,2021-03-30,2021-01-14,2021-01-18,2021-11-13,10,76,Y,1,5,10,Y,1,5
2021-01-13,GEN Y,2021-01-12,2021-01-27,2021-01-20,2021-01-22,2021-11-14,10,14,Y,7,9,10,Y,7,9
2021-01-13,GEN Y,2020-12-02,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2020-05-22,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2019-05-27,,2021-02-03,,2021-02-03,10,-1,N,21,-1,0,N,21,-1
2021-01-13,GEN Z,2019-11-21,2021-03-28,2021-04-08,2021-04-12,2021-11-08,10,74,Y,85,89,0,Y,>30,>30
2021-01-13,GEN Y,2020-12-26,2021-05-02,2021-01-13,2021-01-15,2021-11-13,10,109,Y,0,2,10,Y,0,2
2021-01-13,GEN Y,2020-05-19,2021-01-28,2021-01-30,2021-01-31,2021-11-13,10,15,Y,17,18,10,Y,17,18
2021-01-13,GEN X,2020-12-30,2021-01-22,2021-01-29,2021-01-31,2021-07-27,10,9,Y,16,18,10,N,16,18
2021-01-13,GEN Z,2020-10-12,2021-01-22,2021-01-22,2021-01-27,2021-11-15,10,9,Y,9,14,10,Y,9,14
2021-01-13,GEN Y,2020-12-10,2021-02-22,2021-03-21,2021-06-28,2021-11-01,10,40,Y,67,166,0,Y,>30,>30
2021-01-13,GEN Z,2019-12-13,2021-01-22,2021-01-28,2021-01-28,2021-11-12,10,9,Y,15,15,10,Y,15,15
2021-01-13,GEN Z,2020-10-13,,2021-01-23,,2021-09-23,10,-1,N,10,-1,0,N,10,-1
2021-01-13,GEN Z,2020-03-30,,,,2021-03-03,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Y,2020-12-20,,,,2021-04-23,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Y,2018-11-30,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2021-01-01,,2021-01-14,,2021-01-14,10,-1,N,1,-1,0,N,1,-1
2021-01-13,GEN Z,2020-02-07,2021-01-24,2021-01-25,2021-01-28,2021-11-14,10,11,Y,12,15,10,Y,12,15
2021-01-13,GEN Y,2019-01-30,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2020-03-17,2021-01-27,2021-01-14,2021-01-20,2021-11-12,10,14,Y,1,7,10,Y,1,7
2021-01-13,GEN Z,2020-09-29,2021-09-05,2021-09-08,2021-09-09,2021-11-14,10,235,Y,238,239,0,Y,>30,>30
2021-01-13,GEN Z,2020-12-28,2021-01-21,2021-01-23,2021-01-26,2021-11-13,10,8,Y,10,13,10,Y,10,13
2021-01-13,BOOMER,2021-01-06,2021-01-22,2021-01-25,2021-02-07,2021-11-14,10,9,Y,12,25,10,Y,12,25
2021-01-13,GEN Y,2020-01-21,2021-01-25,2021-01-25,2021-01-29,2021-11-14,10,12,Y,12,16,10,Y,12,16
2021-01-13,GEN Y,2020-09-13,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2020-12-10,2021-01-27,2021-01-28,2021-01-31,2021-11-09,10,14,Y,15,18,10,Y,15,18
2021-01-13,GEN Z,2018-11-28,2021-03-09,,,2021-05-21,10,55,Y,-1,-1,0,N,-1,-1
2021-01-13,GEN X,2021-01-06,,,,2021-01-13,10,-1,N,-1,-1,0,N,-1,-1
2021-01-13,GEN Z,2020-01-14,,2021-02-18,2021-03-27,2021-04-11,10,-1,N,36,73,0,N,>30,>30
2021-01-14,GEN Y,2020-12-16,2021-02-23,2021-01-19,2021-01-22,2021-11-13,10,40,Y,5,8,10,Y,5,8
2021-01-14,GEN Y,2020-05-17,2021-02-06,2021-02-01,2021-02-05,2021-11-13,10,23,Y,18,22,10,Y,18,22
2021-01-14,GEN Y,2020-02-18,2021-02-20,2021-03-05,,2021-11-10,10,37,Y,50,-1,0,Y,>30,-1
2021-01-14,GEN Y,2019-08-27,2021-01-20,2021-01-20,2021-01-22,2021-04-06,10,6,Y,6,8,10,N,6,8
2021-01-14,GEN Y,2021-01-02,2021-02-02,2021-02-09,,2021-02-09,10,19,Y,26,-1,0,N,26,-1
2021-01-14,GEN Y,2020-01-22,,,,2021-11-12,10,-1,N,-1,-1,0,Y,-1,-1
2021-01-14,BOOMER,2020-02-18,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Y,2019-09-24,2021-02-15,2021-02-14,2021-02-16,2021-10-30,10,32,Y,31,33,0,Y,>30,>30
2021-01-14,GEN Y,2020-09-14,2021-03-28,2021-03-01,2021-04-04,2021-11-14,10,73,Y,46,80,0,Y,>30,>30
2021-01-14,GEN Z,2020-12-28,2021-03-07,2021-01-19,2021-02-05,2021-05-05,10,52,Y,5,22,10,N,5,22
2021-01-14,GEN Z,2019-07-02,2021-01-31,2021-01-14,2021-01-17,2021-11-12,10,17,Y,0,3,10,Y,0,3
2021-01-14,GEN Y,2020-02-22,2021-02-20,2021-02-20,,2021-11-06,10,37,Y,37,-1,0,Y,>30,-1
2021-01-14,GEN Z,2020-08-08,2021-01-22,2021-01-23,2021-01-24,2021-11-11,10,8,Y,9,10,10,Y,9,10
2021-01-14,GEN Z,2019-06-10,,2021-02-12,,2021-02-12,10,-1,N,29,-1,0,N,29,-1
2021-01-14,GEN X,2020-12-07,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Y,2020-11-06,2021-02-17,2021-02-17,2021-04-02,2021-11-13,10,34,Y,34,78,0,Y,>30,>30
2021-01-14,GEN Z,2019-08-25,,,,2021-07-13,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Z,2020-12-05,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Z,2020-10-01,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Z,2020-12-07,2021-01-26,2021-01-26,2021-02-18,2021-08-13,10,12,Y,12,35,0,N,12,>30
2021-01-14,GEN Z,2020-03-12,2021-01-21,2021-01-15,2021-01-21,2021-11-14,10,7,Y,1,7,10,Y,1,7
2021-01-14,GEN Y,2020-11-21,2021-02-23,2021-03-06,2021-05-14,2021-10-09,10,40,Y,51,120,0,N,>30,>30
2021-01-14,BOOMER,2020-02-24,2021-02-05,2021-02-14,2021-04-22,2021-04-22,10,22,Y,31,98,0,N,>30,>30
2021-01-14,GEN Z,2019-09-03,2021-02-17,2021-01-18,2021-02-02,2021-11-09,10,34,Y,4,19,10,Y,4,19
2021-01-14,GEN Z,2020-03-13,2021-01-29,2021-01-20,2021-01-21,2021-11-14,10,15,Y,6,7,10,Y,6,7
2021-01-14,GEN Z,2021-01-11,2021-01-21,2021-01-15,2021-01-18,2021-11-13,10,7,Y,1,4,10,Y,1,4
2021-01-14,GEN Y,2019-08-26,2021-01-29,2021-01-29,2021-01-30,2021-11-14,10,15,Y,15,16,10,Y,15,16
2021-01-14,GEN Y,2020-06-04,2021-02-07,2021-02-13,2021-02-18,2021-11-13,10,24,Y,30,35,0,Y,30,>30
2021-01-14,GEN Z,2020-10-22,2021-01-27,2021-01-17,2021-01-19,2021-11-11,10,13,Y,3,5,10,Y,3,5
2021-01-14,GEN X,2020-05-23,,,,2021-01-14,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Z,2020-12-29,2021-01-24,2021-01-30,2021-02-04,2021-05-26,10,10,Y,16,21,10,N,16,21
2021-01-14,GEN Y,2019-09-12,2021-02-02,2021-01-18,2021-02-17,2021-09-17,10,19,Y,4,34,0,N,4,>30
2021-01-14,GEN Z,2020-12-28,,,,2021-02-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Z,2021-01-11,2021-01-20,2021-01-15,2021-01-21,2021-11-15,10,6,Y,1,7,10,Y,1,7
2021-01-14,GEN Y,2021-01-03,2021-02-11,2021-01-19,2021-02-14,2021-10-27,10,28,Y,5,31,0,Y,5,>30
2021-01-14,GEN Y,2021-01-02,2021-01-23,2021-01-16,2021-01-18,2021-11-15,10,9,Y,2,4,10,Y,2,4
2021-01-14,GEN X,2020-01-31,2021-03-19,2021-03-20,2021-06-03,2021-09-18,10,64,Y,65,140,0,N,>30,>30
2021-01-14,GEN Y,2020-12-19,2021-01-25,2021-02-02,2021-02-02,2021-07-08,10,11,Y,19,19,10,N,19,19
2021-01-14,GEN Y,2019-12-11,2021-02-07,2021-01-16,2021-01-20,2021-11-14,10,24,Y,2,6,10,Y,2,6
2021-01-14,GEN Z,2020-12-27,2021-01-23,2021-01-30,2021-02-25,2021-10-27,10,9,Y,16,42,0,Y,16,>30
2021-01-14,GEN Z,2020-12-11,2021-03-02,2021-01-19,2021-01-23,2021-06-25,10,47,Y,5,9,10,N,5,9
2021-01-14,GEN Z,2020-08-12,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Y,2020-12-30,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Y,2019-03-10,2021-03-06,2021-01-14,2021-04-14,2021-07-11,10,51,Y,0,90,0,N,0,>30
2021-01-14,BOOMER,2020-12-08,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Z,2019-03-19,2021-01-22,2021-01-24,2021-01-26,2021-11-11,10,8,Y,10,12,10,Y,10,12
2021-01-14,GEN Z,2019-05-21,2021-01-29,2021-02-05,2021-02-05,2021-11-14,10,15,Y,22,22,10,Y,22,22
2021-01-14,GEN Z,2020-05-22,2021-02-03,2021-02-11,2021-02-22,2021-11-14,10,20,Y,28,39,0,Y,28,>30
2021-01-14,GEN Z,2018-03-14,2021-02-01,2021-02-02,,2021-02-12,10,18,Y,19,-1,0,N,19,-1
2021-01-14,GEN Y,2020-05-11,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,GEN Z,2020-12-30,2021-01-31,2021-01-22,2021-01-23,2021-11-14,10,17,Y,8,9,10,Y,8,9
2021-01-14,GEN Z,2020-05-27,2021-01-28,2021-01-15,2021-01-15,2021-05-30,10,14,Y,1,1,10,N,1,1
2021-01-14,GEN Y,2021-01-08,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-14,BOOMER,2019-08-08,2021-03-08,2021-04-15,,2021-05-26,10,53,Y,91,-1,0,N,>30,-1
2021-01-14,BOOMER,2021-01-02,2021-01-30,2021-01-18,2021-02-08,2021-11-13,10,16,Y,4,25,10,Y,4,25
2021-01-14,GEN Z,2021-01-12,2021-01-31,2021-01-15,2021-01-15,2021-11-14,10,17,Y,1,1,10,Y,1,1
2021-01-14,GEN Y,2020-11-02,2021-01-21,2021-01-23,2021-01-30,2021-11-13,10,7,Y,9,16,10,Y,9,16
2021-01-14,GEN X,2019-04-11,2021-02-03,2021-02-18,2021-03-19,2021-10-31,10,20,Y,35,64,0,Y,>30,>30
2021-01-15,GEN Y,2020-11-12,2021-01-23,2021-06-07,,2021-09-01,10,8,Y,143,-1,0,N,>30,-1
2021-01-15,GEN Z,2020-03-25,2021-02-10,2021-02-10,2021-02-13,2021-11-11,10,26,Y,26,29,10,Y,26,29
2021-01-15,GEN Z,2020-12-31,2021-01-28,2021-01-15,2021-01-18,2021-11-10,10,13,Y,0,3,10,Y,0,3
2021-01-15,GEN Y,2020-08-08,2021-03-11,2021-04-26,2021-05-06,2021-11-15,10,55,Y,101,111,0,Y,>30,>30
2021-01-15,GEN Y,2021-01-03,2021-01-23,2021-01-23,2021-01-28,2021-11-14,10,8,Y,8,13,10,Y,8,13
2021-01-15,GEN Z,2019-12-30,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-15,GEN Y,2019-07-12,2021-01-28,2021-01-15,2021-01-19,2021-11-15,10,13,Y,0,4,10,Y,0,4
2021-01-15,GEN Y,2020-03-10,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-15,GEN X,2020-11-06,,,,2021-01-15,10,-1,N,-1,-1,0,N,-1,-1
2021-01-15,GEN Z,2019-05-12,,,,2021-01-15,10,-1,N,-1,-1,0,N,-1,-1
2021-01-15,GEN X,2021-01-07,2021-01-28,2021-01-22,2021-02-19,2021-04-09,10,13,Y,7,35,0,N,7,>30
2021-01-15,GEN Y,2020-05-25,2021-02-13,2021-02-13,2021-02-19,2021-11-06,10,29,Y,29,35,0,Y,29,>30
2021-01-15,GEN Z,2019-06-12,2021-02-05,2021-02-13,2021-02-17,2021-11-14,10,21,Y,29,33,0,Y,29,>30
2021-01-15,GEN Y,2020-12-16,,2021-04-14,2021-08-01,2021-11-09,10,-1,N,89,198,0,Y,>30,>30
2021-01-15,GEN Z,2020-11-07,2021-08-10,2021-02-08,2021-02-14,2021-11-15,10,207,Y,24,30,10,Y,24,30
2021-01-15,GEN Z,2020-09-02,2021-02-21,2021-02-21,2021-07-20,2021-07-20,10,37,Y,37,186,0,N,>30,>30
2021-01-15,GEN Y,2019-12-21,2021-01-21,2021-01-20,2021-01-26,2021-11-13,10,6,Y,5,11,10,Y,5,11
2021-01-15,GEN Z,2020-12-25,2021-01-28,2021-01-20,,2021-02-14,10,13,Y,5,-1,0,N,5,-1
2021-01-15,GEN Z,2019-06-02,2021-01-29,2021-01-29,,2021-05-04,10,14,Y,14,-1,0,N,14,-1
2021-01-15,GEN Z,2020-07-13,2021-02-02,2021-02-02,2021-02-02,2021-03-16,10,18,Y,18,18,10,N,18,18
2021-01-15,GEN Z,2020-12-05,2021-03-10,2021-01-22,2021-02-11,2021-11-13,10,54,Y,7,27,10,Y,7,27
